id,name,pinyin,aliases,common_brands,indications,contraindications,dosage,side_effects,precautions,storage,pregnancy_level,pregnancy_desc,lactation_level,lactation_desc,children_usable,children_desc,is_hot,is_active
3,阿奇霉素,aqimeisu,,希舒美、舒美特,适用于敏感细菌所引起的呼吸道感染、皮肤软组织感染、沙眼衣原体所致单纯性生殖器感染等。,对阿奇霉素、红霉素或其他大环内酯类药物过敏者禁用。,成人：一次0.5g，一日1次，连用3天。儿童：按体重一次10mg/kg，一日1次，连用3天。,可见腹泻、恶心、腹痛、稀便、呕吐等胃肠道反应。,肝功能不全者慎用；不宜与抗酸药同时服用；饭前1小时或饭后2小时服用。,遮光，密封，在干燥处保存。,B,孕期较安全,L2,哺乳期较安全,True,6个月以上儿童可用,True,True
4,奥司他韦,aositawei,,达菲、可威,用于成人和1岁及1岁以上儿童的甲型和乙型流感治疗。用于成人和13岁及13岁以上青少年的甲型和乙型流感的预防。,对本品任何成分过敏者禁用。,成人治疗：一次75mg，一日2次，连续5天。成人预防：一次75mg，一日1次，至少7天。儿童按体重调整剂量。,常见恶心、呕吐、腹泻、腹痛、头痛等。,应在流感症状开始的48小时内使用；肾功能不全者需调整剂量。,密封保存。,C,孕期权衡利弊使用,L2,哺乳期较安全,True,1岁以上儿童可用,True,True
7,莫匹罗星软膏,mobiluoxing,,百多邦,本品为局部外用抗生素，适用于革兰阳性球菌引起的皮肤感染，如脓疱病、疖肿、毛囊炎等原发性皮肤感染及湿疹合并感染、溃疡合并感染、创伤合并感染等继发性感染。,对本品过敏者禁用。,外用。取适量本品涂于患处，一日3次，疗程5天。可根据病情适当延长，但不宜超过10天。,偶见局部烧灼感、刺痛、瘙痒、干燥、红斑等。,避免接触眼睛和其他黏膜；不宜大面积使用；不宜长期使用。,密封保存。,B,孕期较安全,L1,哺乳期安全,True,儿童可用,False,True
8,炉甘石洗剂,luganshixiji,,,用于急性瘙痒性皮肤病，如湿疹、痱子等。,对本品过敏者禁用；有渗出液的皮肤部位禁用。,外用。用时摇匀，取适量涂于患处，一日2-3次。,偶见过敏反应。,仅供外用，不得口服；避免接触眼睛和黏膜；用前摇匀。,密封保存。,A,孕期安全,L1,哺乳期安全,True,儿童可用,False,True
9,阿司匹林,asipiling,,拜阿司匹灵、阿司匹林肠溶片,用于预防心脑血管疾病；用于解热镇痛；用于抗风湿。,对阿司匹林过敏者禁用；活动性溃疡病或其他原因引起的消化道出血禁用；血友病或血小板减少症禁用。,预防心脑血管疾病：一次75-100mg，一日1次。解热镇痛：一次0.3-0.6g，一日3次。,可见胃肠道反应、出血倾向、过敏反应等。,餐后服用；不宜与抗凝药同用；定期检查凝血功能。,遮光，密封保存。,D,孕期慎用,L3,哺乳期慎用,False,儿童慎用，可能引起瑞氏综合征,True,True
10,硝苯地平,xiaobendeping,,拜新同、伲福达,用于治疗高血压、冠心病、心绞痛。,对本品过敏者禁用；心源性休克禁用；急性心肌梗死禁用。,控释片：一次30mg，一日1次。缓释片：一次10-20mg，一日2-3次。,可见头痛、面部潮红、心悸、踝部水肿等。,不宜突然停药；低血压患者慎用；肝功能不全者慎用。,遮光，密封保存。,C,孕期权衡利弊使用,L2,哺乳期较安全,False,儿童用药安全性未确立,False,True
1,布洛芬,buluofen,,芬必得、美林,用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。也用于普通感冒或流行性感冒引起的发热。,对本品过敏者禁用；消化性溃疡患者禁用；严重肝肾功能不全者禁用。,成人：一次0.2g（1片），一日2-3次。儿童：按体重一次5-10mg/kg，每6-8小时一次。,可见恶心、呕吐、胃烧灼感、轻度消化不良、皮疹、头痛、头晕等。,不得空腹服用；不得长期或大量使用；与其他解热镇痛药同用可增加胃肠道不良反应。,遮光，密封保存。,C,孕晚期禁用,L1,哺乳期较安全,True,6个月以上儿童可用,True,True
5,奥美拉唑,aomeilazuo,,洛赛克、奥克,适用于胃溃疡、十二指肠溃疡、应激性溃疡、反流性食管炎和卓-艾综合征（胃泌素瘤）。,对本品过敏者禁用。,成人：一次20mg，一日1-2次。十二指肠溃疡疗程通常为2-4周。,可见腹泻、头痛、恶心、腹痛、便秘、胀气等。,不宜长期使用；肝功能不全者慎用；可能掩盖胃癌症状。,遮光，密封保存。,C,孕期权衡利弊使用,L2,哺乳期较安全,True,1岁以上儿童可用,True,True
2,对乙酰氨基酚,duiyixiananjifeng,扑热息痛,泰诺、百服宁、必理通,用于普通感冒或流行性感冒引起的发热，也用于缓解轻至中度疼痛如头痛、关节痛、偏头痛、牙痛、肌肉痛、神经痛、痛经。,对本品过敏者禁用；严重肝肾功能不全者禁用。,成人：一次0.5g，每4-6小时一次，24小时内不超过2g。儿童：按体重一次10-15mg/kg，每4-6小时一次。,偶见皮疹、荨麻疹、药热及粒细胞减少。长期大量用药可导致肝肾损害。,肝肾功能不全者慎用；不得同时服用含对乙酰氨基酚的其他药品；饮酒者慎用。,遮光，密封保存。,B,孕期相对安全,L1,哺乳期安全,True,3个月以上儿童可用,True,True
6,蒙脱石散,mengtuoshisan,,思密达、必奇,用于成人及儿童急、慢性腹泻。用于食道、胃、十二指肠疾病引起的相关疼痛症状的辅助治疗。,对本品过敏者禁用。,成人：一次1袋（3g），一日3次。儿童：1岁以下一日1袋，1-2岁一日1-2袋，2岁以上一日2-3袋。,可见便秘，通常减量后可消失。,空腹服用效果更佳；严重便秘者慎用；不影响其他药物吸收。,密封保存。,B,孕期安全,L1,哺乳期安全,True,新生儿可用,True,True
